Tipo variazione;Istat vecchio;Denominazione Comune;Istat nuovo;Denominazione Comune associata alla variazione o nuova denominazione
CE ;015204;Sedriano;015010;Arluno
CE ;016039;Brembilla;016196;Sedrina
AQ;016196;Sedrina;016039;Brembilla
AQ;016196;Sedrina;016246;Zogno
CE ;016246;Zogno;016196;Sedrina
CE ;018053;Copiano;018181;Vistarino
AQ;018053;Copiano;018181;Vistarino
AQ;018181;Vistarino;018053;Copiano
CE ;018181;Vistarino;018053;Copiano
CD;041035;Monte Grimano;041035;Monte Grimano Terme
CE;017160;Remedello;017001;Acquafredda
AQ;017001;Acquafredda;017160;Remedello
CE;017163;Rodengo Saiano;017040;Castegnato
AQ;017040;Castegnato;017163;Rodengo Saiano
ES;013210;Santa Maria Rezzonico;013248;San Siro
ES;013208;Sant'Abbondio;013248;San Siro
CS;013248;San Siro;013210;Santa Maria Rezzonico
AQ;013248;San Siro;013210;Santa Maria Rezzonico
CS;013248;San Siro;013208;Sant'Abbondio
AQ;013248;San Siro;013208;Sant'Abbondio
AQ;015027;Bollate;015250;Baranzate
ES;015250;Baranzate;015027;Bollate
CD;021052;Monguelfo;021052;Monguelfo-Tesido
AQ;093036;Roveredo in Piano;093022;Fontanafredda
CE;093022;Fontanafredda;093036;Roveredo in Piano
AQ;071063;Ordona;071036;Orta Nova
CE;071036;Orta Nova;071063;Ordona
CE ;015027;Bollate;015250;Baranzate
CS;015250;Baranzate;015027;Bollate
AQ;015250;Baranzate;015027;Bollate
CD;016192;Sant'Omobono Imagna;016192;Sant'Omobono Terme
CE;030116;Tarcento;030052;Magnano in Riviera
AQ;030116;Tarcento;030052;Magnano in Riviera
CE;030052;Magnano in Riviera;030116;Tarcento
AQ;030052;Magnano in Riviera;030116;Tarcento
CE;015117;Lazzate;015119;Lentate sul Seveso
AQ;015119;Lentate sul Seveso;015117;Lazzate
CE;071036;Orta Nova;071063;Ordona
AQ;071036;Orta Nova;071063;Ordona
CE;071063;Ordona;071036;Orta Nova
AQ;071063;Ordona;071036;Orta Nova
AQ;098041;Mulazzano;098018;Cervignano d'Adda
CE;098041;Mulazzano;098018;Cervignano d'Adda
AQ;098018;Cervignano d'Adda;098041;Mulazzano
CE;098018;Cervignano d'Adda;098041;Mulazzano
AQ;037050;Sala Bolognese;037009;Calderara di Reno
CE;037009;Calderara di Reno;037050;Sala Bolognese
AQ;037009;Calderara di Reno;037050;Sala Bolognese
CE;037050;Sala Bolognese;037009;Calderara di Reno
CE;097021;Cesana Brianza ;097009;Bosisio Parini
AQ;097009;Bosisio Parini;097021;Cesana Brianza 
CE;018119;Rea;018162;Travacò Siccomario
AQ;018162;Travacò Siccomario;018119;Rea
CE;037051;San Benedetto Val di Sambro;037040;Monghidoro
AQ;037051;San Benedetto Val di Sambro;037040;Monghidoro
CE;037040;Monghidoro;037051;San Benedetto Val di Sambro
AQ;037040;Monghidoro;037051;San Benedetto Val di Sambro
AQ;075029;Galatina;075075;Sogliano Cavour
CE;075029;Galatina;075075;Sogliano Cavour
AQ;075075;Sogliano Cavour;075029;Galatina
CE;075075;Sogliano Cavour;075029;Galatina
CE;018023;Bressana Bottarone;018119;Rea
AQ;018119;Rea;018023;Bressana Bottarone
CE;015164;Ossona;015134;Marcallo con Casone
AQ;015134;Marcallo con Casone;015164;Ossona
CD;022156;Roncegno;022156;Roncegno Terme
CD;022162;Ruffrè;022162;Ruffrè-Mendola
AQ;021029;Egna;021053;Montagna
CE;021053;Montagna;021029;Egna
CE;018110;Pavia;018135;San Genesio ed Uniti
AQ;018135;San Genesio ed Uniti;018110;Pavia
CE;050004;Calcinaia;050029;Pontedera
CE;045004;Casola in Lunigiana;045007;Fivizzano
AQ;045007;Fivizzano;045004;Casola in Lunigiana
AP;090001;Aggius;104001;
AP;090062;Aglientu;104002;
AP;090002;Alà dei Sardi;104003;
AP;090006;Arzachena;104004;
AP;090009;Berchidda;104006;
AP;090014;Bortigiadas;104007;
AP;090017;Buddusò;104008;
AP;091014;Budoni;104009;
AP;090021;Calangianus;104010;
AP;090083;Golfo Aranci;104011;
AP;090035;La Maddalena;104012;
AP;090084;Loiri Porto San Paolo;104013;
AP;090036;Luogosanto;104014;
AP;090037;Luras;104015;
AP;090041;Monti;104016;
AP;090047;Olbia;104017;
AP;090049;Oschiri;104018;
AP;090090;Padru;104019;
AP;090054;Palau;104020;
AP;090085;Sant'Antonio di Gallura;104021;
AP;090063;Santa Teresa Gallura;104022;
AP;091076;San Teodoro;104023;
AP;090080;Telti;104024;
AP;090070;Tempio Pausania;104025;
AP;090074;Trinità d'Agultu e Vignola;104026;
AP;091002;Arzana;105001;
AP;091005;Bari Sardo;105002;
AP;091006;Baunei;105003;
AP;091103;Cardedu;105004;
AP;091019;Elini;105005;
AP;091026;Gairo;105006;
AP;091031;Girasole;105007;
AP;091032;Ilbono;105008;
AP;091035;Jerzu;105009;
AP;091037;Lanusei;105010;
AP;091039;Loceri;105011;
AP;091042;Lotzorai;105012;
AP;091069;Osini;105013;
AP;091072;Perdasdefogu;105014;
AP;091081;Seui;105015;
AP;091088;Talana;105016;
AP;091089;Tertenia;105017;
AP;091095;Tortolì;105018;
AP;091097;Triei;105019;
AP;091098;Ulassai;105020;
AP;091099;Urzulei;105021;
AP;091100;Ussassai;105022;
AP;091101;Villagrande Strisaili;105023;
AP;092001;Arbus;106001;
AP;092006;Barumini;106002;
AP;092014;Collinas;106003;
AP;092022;Furtei;106004;
AP;092023;Genuri;106005;
AP;092025;Gesturi;106006;
AP;092029;Gonnosfanadiga;106007;
AP;092032;Guspini;106008;
AP;092034;Las Plassas;106009;
